year,month,site_id,market,registrations,ftds,active_players,deposit_count,unique_depositors,sports_active_players,casino_active_players,live_casino_active_players,turnover_eur,winnings_eur,ggr_eur,withdrawal_adjustments_eur,deposit_adjustments_eur,bonus_withdrawn_eur,bonus_issued_eur,cashback_eur,goodwill_amount_eur,ngr_eur,deposits_eur,ftd_amount_eur,reload_amount_eur,withdrawals_eur,net_deposits_eur,sports_turnover_eur,sports_winnings_eur,sports_ggr_eur,sports_bonus_issued_eur,sports_bonus_withdrawn_eur,sports_ngr_eur,casino_turnover_eur,casino_winnings_eur,casino_ggr_eur,casino_bonus_issued_eur,casino_bonus_withdrawn_eur,casino_ngr_eur,live_casino_turnover_eur,live_casino_winnings_eur,live_casino_ggr_eur,live_casino_ngr_eur,vip_bonus_eur,total_bonus_eur,ggr_discrepancy,ggr_calculated,ggr_consistent
2023,4,1,PG,0,0,0,1,0,0,0,0,426,384,42,0,0,0,0,0,0,42,42,4,39,0,42,255,273,-19,0,0,-19,144,84,60,0,0,60,2,1,1,1,0,0,0,42,True
2023,4,1,RU,1,0,0,2,0,0,0,0,375,401,-26,0,0,0,0,0,0,-26,319,4,315,345,-26,366,392,-26,0,0,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,True
2023,4,1,SE,182,142,1038,16797,810,0,1011,288,9192332,8802520,389812,46,7450,18550,27104,43914,779,320761,978587,11513,967073,669259,309327,0,0,0,0,0,0,7734498,7387089,347409,20962,15703,287014,1457834,1415431,42402,42402,5809,69051,0,389812,True
2023,4,1,SZ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,4,1,TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,4,1,UA,1,0,0,2,0,0,0,0,246,322,-76,0,0,0,0,0,0,-76,42,0,42,117,-76,9,0,9,0,0,9,237,322,-84,0,0,-84,0,0,0,0,0,0,0,-76,True
2023,4,1,UY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,4,1,VE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,4,1,VN,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,4,1,ZA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
